,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
63,Casual Housekeepers,102,Hortus,"3043 State Highway 1, Riverlands, New Zealand",2022-09-27,Other,Need Staff Soon,5,2022-10-03,2023-05-08,22.50-23.50,Flexi rosters,"Looking for casual/on call work? Like to keep fit and active? Have a good sense of humour? Want to make a difference to the home life of many? $22.50- $23.50 per hour depending on experience + 8% holiday pay.   Hortus is a leading viticulture contractor in the Marlborough region. We provide quality, purpose-built accommodation […]"
64,Machine Operators Wanted!,92,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-27,Berries,Need Staff Now,5,2022-10-03,2022-12-24,$21.2 (+8% Holiday Pay),,"We are looking for a machine operator to assist with the harvest season! We offer flexible hours, a fun team environment and opportunities for professional development. This is a short-term position until approximately end of December. Remuneration: The Rate is $21.20/hour (+8% holiday pay), negotiable depending on experience Duties may include: Assisting the pack house supervisor in […]"
65,Kiwi fruit bud thinners,377,Heywood Orchards Ltd,"Motueka, New Zealand",2022-09-27,Kiwifruit,Need Staff Soon,15,2022-10-10,2022-12-23,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Free Wifi","Heywood Orchards requires kiwifruit bud thinners for our upcoming season. The bud thinning season runs for approximately 3 weeks, with kiwifruit or apple/pear thinning work to follow. If you enjoy working outdoors, are physically fit and think you are suited to this work, we are keen to hear from you. We can discuss transport and […]"
66,Cherry Harvest Positions,442,3 Kings Cherries,"Alexandra, New Zealand",2022-09-26,Stonefruit (including Cherries),Expressions of Interest,20,2022-12-15,2023-02-07,23.65 per hour,"Accommodation, Bucket/bin rate bonuses, Flexi rosters","If you’re looking for healthy outdoor work surrounded by million dollar views,  seasonal picking and packing work is available at our orchard. 3 Kings is conveniently located within walking distance of historic Clyde and only a short drive from larger towns such as Alexandra and Cromwell. The bulk of seasonal work in at 3 Kings […]"
67,Fruit Thinner,175,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-26,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
68,"Vintage Cellar Hand, Marlborough",235,Delegat Limited,"Blenheim, New Zealand",2022-09-25,Winegrowing,Need Staff Soon,50,2023-02-20,2023-04-28,$24 per hour,Transport,"Delegat has earned a reputation as one of New Zealand’s leading winemakers achieving global success with our Oyster Bay brand.  We focus exclusively on making the world’s most sought-after Super-Premium wines and have invested in modern technology and facilities. Delegat Marlborough winery is a large and modern facility with a 40,000-tonne capacity and focuses primarily […]"
69,Truck Driver - 2023 Apple Harvest,108,Wai-West Horticulture Ltd,"TASMAN, New Zealand",2022-09-23,Apples and Pears,Expressions of Interest,2,2023-02-01,2023-05-31,NZ$25 - NZ$27 per hour + 8% Holiday pay,,"Class 5 Driver – Curtain-sider Do you love driving a truck but hate the nights spent away from home? Our position for a local Truck Driver might be right for you. We are looking for a safe, courteous driver who values a predictable schedule. Our company makes safety our number one priority, which is reflected […]"
70,Fruit Thinner,208,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
71,Thinning and Picking,330,AR Labour Contracting,"Hastings, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,10,2022-10-03,2023-03-31,$22.90,,"Hi , We are looking for people to work in orchards. This is position is for Stone fruit thinning , Apple thinning , Stone fruit picking , Apple picking. This work include ladder work. Training can be provided. P.S – We can assist SSE visa as well. Please send us your CV and we will […]"
72,kiwifruit summer work,300,Heera contracting,"Tauranga, New Zealand",2022-09-22,Kiwifruit,Need Staff Soon,100,2022-10-10,2023-03-10,Minimum wage + 8% holiday pay,"Bucket/bin rate bonuses, End of season bonuses","We are looking for energetic people to join us for the busy Kiwifruit season in the Te Puna region. Job Description: – bud thinning, end shoot tipping, fruit thinning, zero leafing, male trimming, leader work, girdling, male pruning and summer canopy work. Hourly and Contract work available: Casual work from early October till early March […]"
73,Picker/packer,317,Windermere Berry Farm,"313 SH3, Whanganui, New Zealand",2022-09-22,Berries,Need Staff Soon,8,2022-11-01,2023-05-12,21.2,Bucket/bin rate bonuses,"(Note, we do not assist with immigration) Work at an iconic Whanganui berry farm, doing pick to punnet primarily in strawberries and raspberries with no ground fruit. Experienced, or regular employees will often also be taught pruning, and other farm jobs. Jobs are available starting from early November able to start as late as the […]"
74,Picker/packer,106,Windermere Berry Farm,"313 SH3, Whanganui, New Zealand",2022-09-22,Berries,Need Staff Soon,8,2022-10-10,2022-12-24,21.2,Bucket/bin rate bonuses,"(We do not assist with immigration) Work at an iconic Whanganui berry farm, doing pick to punnet primarily in strawberries and raspberries with no ground fruit. Experienced, or regular employees will often also be taught pruning, and other farm jobs. Jobs are available starting from early November able to start as late as the end […]"
75,Wither Hills 2023 Vintage Positions,317,Wither Hills,"211 New Renwick Rd, Blenheim, New Zealand",2022-09-22,Winegrowing,Expressions of Interest,39,2023-02-20,2023-04-14,$23.50 to $29 depending on experience and role,"Accommodation, Free Wifi, Social club / staff events","Wither Hills – Vintage 2023 Positions Vintage will be here before you know it so the team at Wither Hills are starting the search for our 2023 crew. We have a number of fixed term positions available within our winery based in Marlborough if you want to be part of a fun and motivated harvest team, […]"
76,Summer Internship - Sales & Marketing Role Now Open,195,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Expressions of Interest,1,2022-11-15,2023-02-03,$23.00 per hour,"End of season bonuses, Free Wifi, Social club / staff events","Marketing and Sales Assistant  (Summer Internship) CROMWELL, Otago $23.00 per hour + performance bonus potential This marketing and sales assistant internship has a key focus on e-commerce and social media. You will also contribute to the smooth running of our online store and provide sales and administrative support to the wider team. We are looking […]"
77,Summer Internships - HR Roles Now Open,171,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Expressions of Interest,2,2022-11-15,2023-02-03,$23.00 per hour,"End of season bonuses, Free Wifi, Social club / staff events","Human Resources Administrator (Summer Internship)   Start date Mid-November 2022 $23.00 per hour + performance bonus potential. As the HR Administrator, you will be integral to the smooth running of our cherry harvest by recruiting and onboarding seasonal team members, and ensuring they are looked after. We are looking for a self-motivated and trustworthy person, […]"
78,Cherry Packer,386,Panmure Orchards Ltd,"Alexandra, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,6,2023-01-03,2023-01-27,$21.20,"Accommodation, Flexi rosters, Free Wifi",Have you wanted to spend your summer working with cherries? Panmure Orchards are now taking applications for our 2022-2023 Cherry Season. Our season runs from Early January to Late January with the possibility to work earlier and later. Packers start approx 8.30am and work until we have packed all the fruit picked that day. Variations […]
79,Now Open - Cherry Picker and Packer Positions,692,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,200,2022-12-12,2023-01-31,21.20,"Accommodation, Transport, Bucket/bin rate bonuses, End of season bonuses, Social club / staff events","Cherry Picker and Packer Positions CROMWELL, Otago   Picker base rate $21.20 + bonus potential Packhouse base rate $22.20 – $24.00 + bonus potential.   Pure Pac is a cooperative formed by a group of Central Otago cherry growers. We harvest, pack, and sell delicious cherries from more than 10 orchards. We have a variety […]"
80,Apple Thinning - Elevated Platform Night Shift,165,NZSF Rural Land Ltd - Easton Orchard,"Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,10,2022-11-07,2022-12-21,$22.10 + Holiday Pay + Higher piece rates will apply for Nightshift,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work on a Nightshift as apple thinners, working on an elevated platform. The Nightshift is working outside for 8.5 hours a day (4.30pm to […]"
81,Apple Thinning - Elevated Platform Day Shift,104,NZSF Rural Land Ltd - Easton Orchard,"74 Bartlett Road, Appleby, Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,10,2022-11-07,2022-12-21,$22.10 + Holiday Pay,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work on a Dayshift as apple thinners, working on an elevated platform. The Dayshift is working outside for 8.5 hours a day (7.00am to […]"
82,Customer Service All-Rounders Wanted!,194,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-21,Berries,Need Staff Soon,10,2022-10-01,2023-01-14,$21.20 (+8% Holiday Pay),,"We are seeking customer service all-rounders to join us on our PYO strawberry farm in Riverhead! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately Mid-January. Remuneration: The Rate is $21.20/hour (+ 8% holiday pay) Duties may include: Operating the till […]"
83,Apple Thinner Nelson,126,NZSF Rural Land Ltd - Easton Orchard,"74 Bartlett Road, Appleby, Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,30,2022-11-07,2022-12-21,$22.10 + Holiday Pay,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work as apple thinners. The job is working outside for 8 – 8.5 hours a day (7.30am to 5.00pm with half an hour for […]"
84,Full Time Harvest Support Workers,298,Berry Farms NZ,"Thurley Place, Bay View, Napier, New Zealand",2022-09-21,Berries,Need Staff Now,8,2022-10-03,2023-06-30,$22- $24 per hour,,"Berry Farms are currently hiring Full Time Harvest Support Workers to work at our Bay View Farm.  Please note these are not picking roles. These are full time fixed term roles, and hours of work will vary but will include some weekend work and early morning starts. Our harvest season continues through until June as […]"
85,Picker,341,LQ Hotel,"Queenstown, New Zealand",2022-09-21,Stonefruit (including Cherries),Need Staff Soon,1,2022-10-31,2023-02-28,22.5,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters, End of season bonuses, Free Wifi, Accommodation rebates, Social club / staff events","Hi, I’m Hans. I am living at Queenstown right now. I am available from Octorber to February next year, and I’m a working holiday visa holder as well. My current job is Housekeeing in the LQ Hotel, Queenstown. I am happy to have this experience let me learn some new skills and knowledge. I came […]"
86,ORCHARD ROLES BAY OF PLENTY,258,Trevelyan Pack & Cool Ltd.,"Te Puke, Tauranga, New Zealand",2022-09-21,Kiwifruit,Need Staff Soon,300,2022-10-01,2023-02-28,$23 + 8% Holiday Pay,,Come and work in the Te Puke and Tauranga areas! ☀️10 minutes to the beautiful coast line ☀️Easy drive to the beautiful lakes in Rotorua   Work directly for growers and managers with no contractor in the middle 🥝Good work conditions outside in the orchards 🥝Good team environment so bring your friends! 🥝Lots of work […]
87,Flower Removal,251,Vailima Orchard,"300 Main Road Hope, Hope, New Zealand",2022-09-20,Apples and Pears,Need Staff Now,12,2022-10-03,2022-10-28,$21.20,,"We are looking for motivated people that enjoy working in the outdoors, we offer a supportive fun environment, on the job training and a career path when you fall in love with horticulture. Vailima Orchard is a successful, 4th generation family-owned business. With over 200Ha’s of Apple Orchards stretching over the Waimea Plains in Hope. […]"
88,Strawberry Packers Wanted! - Accommodation Available!,490,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-20,Berries,Need Staff Now,10,2022-09-26,2022-12-24,$22.89 (including 8% holiday pay),,"APPLY NOW – START ASAP!! We’re looking for Packhouse superstars to work with us! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately end of December. Accommodation available on a first come first serve basis! Duties may include: Packing Strawberries Carrying […]"
89,Cherry Picking - Secure your Summer Job Now!!!,467,Gourmet Summerfruit Limited,"44 Kinaston Road, Roxburgh, Roxburgh East, New Zealand",2022-09-20,Stonefruit (including Cherries),Expressions of Interest,80,2022-12-28,2023-02-03,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters","We are a Large Orchard in Roxburgh Central Otago Looking for fit energetic workers wanting to earn good money this summer picking Cherries starting in late December. There’s nothing like a summer harvest in Roxburgh, work hard during the morning, then cool off down by the river after a hard days work. You will need […]"
90,GENERAL ORCHARD WORKER,266,H & J Roberts,"Alexandra, New Zealand",2022-09-20,Stonefruit (including Cherries),Expressions of Interest,20,2022-12-05,2023-03-31,$21.20,"Accommodation, Bucket/bin rate bonuses, Flexi rosters, End of season bonuses, Free Wifi, Accommodation rebates, Social club / staff events","WE ARE LOOKING FOR GENERAL ORCHARD HANDS TO WORK THROUGH THE SUMMER PERIOD ON A SEASONAL FIXED AGREEMENT STARTING ABOUT EARLY DECEMBER TO LATE MARCH. WORK ENTAILS THINNING FRUIT FROM BRANCHES, HARVESTING A VARIETY OF CROPS, PACKING FRUIT INTO CARTONS/PUNNETS, AND GENERAL MAINTENANCE WORK. IT IS NOT NECESSARY TO BE ABLE TO PERFORM ALL THE […]"
91,Seasonal Staff,371,Blueberry Country Limited,"Ohaupo, Ngatea, New Zealand",2022-09-20,Berries,Need Staff Soon,50,2022-11-16,2023-03-31,21.20,,"Enthusiastic staff are required over the summer for our busy Waikato blueberry orchards in Ohaupo and Ngatea! Who are we? We are a family-owned business based in Ohaupo in the Waikato. We have established Orchards in Ohaupo, Ngatea, Otautau (Southland) and have an orchard under development in Waipu (Northland). We are New Zealand’s largest holder […]"
92,Fruit Thinner,109,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-19,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
93,Hop Plant Training - Start Mid Oct,290,Nelson Hops NZ Limited,"361 Tapawera-Batton Road, Tapawera, New Zealand",2022-09-19,Other,Need Staff Soon,30,2022-10-10,2022-12-03,$24 inc h/p up to $50+ (piece rates),"Accommodation, Transport, Free Wifi",$24 – $50 + per hour inc h/p (contract piece rates) Accommodation available – Free Van Transport to & from work We are requiring motivated people to join our NZ/international team to train this season’s new & mature hop plants. The hop plant is a vine which grows up strings and produces a hop flower which is harvested to bless the beer we […]
94,Flower Harvesting Team Members,266,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Other,Need Staff Soon,10,2022-10-10,2023-03-17,22.40,,"About the Company: As a division of Southern Fresh Foods, Burwood Nurseries is a dynamic, fast growing family business. Nestled in the Waikato region, we are one of the largest cultivators of fresh-cut flowers in New Zealand. We grow an array of flowers throughout the year and deliver them nationwide. We are proud to fill […]"
95,Flower Cropping Team Members,76,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Other,Need Staff Soon,2,2022-11-14,2023-03-17,23.40,,"About the Company: As a division of Southern Fresh Foods, Burwood Nurseries is a dynamic, fast growing family business. Nestled in the Waikato region, we are one of the largest cultivators of fresh-cut flowers in New Zealand. We grow an array of flowers throughout the year and deliver them nationwide. We are proud to fill […]"
96,Harvesting Team Members,120,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Vegetables,Need Staff Soon,8,2022-11-28,2022-12-23,23.40,,"About the Company: Southern Fresh Foods is a leading provider of specialty produce including salads, herbs, and baby vegetables. Owned by the Dunn family, Southern Fresh is an exciting and rewarding business to work for with every day bringing new challenges and possibilities. Everything we grow is handled with perfect skill and care so that […]"
97,Flower Nursery Assistant,187,Bokay Flower Farms,"40 MAXTED ROAD, DRURY, New Zealand",2022-09-19,Other,Need Staff Now,3,2022-09-19,2023-05-01,$22,,Flower Pickers and nursery workers required urgently for large nursery based in South Auckland. Good pay offered for the right people. Contact Kerry on 021-883141 or kerry@bokay.co.nz for more info. Various roles available.
98,Blueberry Pickers,401,Cotterell Orchard,"Katikati, New Zealand",2022-09-18,Berries,Need Staff Soon,15,2022-10-14,2022-12-20,$22,Bucket/bin rate bonuses,"We are are family owned and operated orchard looking for some great people to join our Blueberry harvest team for the 2022 season.  Season runs from Mid Oct through until approx 20th Dec. Must be motivated, reliable and fit Have good attention to detail Fruit picking experience an advantage – especially if you have done […]"
99,Strawberry Farm & Cafe Worker,343,Red Bridge Berries,"Shortcut Road, Wanaka, New Zealand",2022-09-18,Berries,Need Staff Soon,4,2022-11-01,2023-04-21,$23,Flexi rosters,"Red Bridge Berries is Hiring!! We are looking for a small team of staff for our summer season November till April (Easter) positions are full time and flexi time and come with perks of ice cream, strawberries and Coffee and an awesome fun environment to work.   Competitive wages and great hours so you can […]"
100,Seasonal Orchard - Blueberry Harvesting,584,T&G Global,"Kerikeri, New Zealand",2022-09-16,Berries,Need Staff Soon,20,2022-11-01,2022-12-16,21.20,Bucket/bin rate bonuses,"T&G Fresh has a vital role to play in providing fresh fruit and vegetables to Kiwis. T&G Kerikeri has an opportunity for you to earn some extra cash leading up to Christmas, so would you like to be part of our seasonal blueberry harvest and pruning crew.   The harvesting of blueberries has a limited window.  […]"
101,Spray Operator,97,Meiros Orchard Ltd,"Puketapu, New Zealand",2022-09-16,Apples and Pears,Need Staff Now,1,2022-09-26,2023-02-01,$26.00 per hour,,We are looking for a spray operator. Applicant should have experience in orchard spraying and be Growsafe Certified. This job would suit someone who is may be looking to work part time or doesn’t wish to work every day of the week. Must be available when needed though and ok with early starts. Spraying hours […]
102,Seasonal Orchard Work - Thinning,250,Mr Apple NZ Limited,"Central Hawke's Bay, Hastings and Napier, New Zealand",2022-09-16,Apples and Pears,Need Staff Soon,100,2022-11-07,2022-12-18,$22.10,"End of season bonuses, Social club / staff events",Looking for short-term work before Christmas? Head to sunny Hawke’s Bay and join our friendly thinning teams where you’ll work hard in fantastic outdoor settings.  The work  Thinning is removing small apples in a bunch to give the rest space to reach apple perfection. You’ll be trained and supported as you learn the ropes by […]
103,Cherry Picking and Packhouse Staff,760,CentralPac Limited,"Cromwell, New Zealand",2022-09-15,Stonefruit (including Cherries),Expressions of Interest,100,2022-12-12,2023-01-30,$22.75 per hour,"Accommodation, Transport, Bucket/bin rate bonuses, End of season bonuses, Free Wifi, Social club / staff events","Our Orchard and Packhouse in Cromwell has various positions available for harvest and packhouse staff over the Cherry Season. Available positions include: Picking – pickers are paid by bucket, so the more you pick the more you earn! Supervising – if you have leadership skills or experience, then this job is for you. Quality Control – fruit experience […]"
104,Kiwifruit Summer Work,384,Oropi Management Services LTD,"Tauranga, New Zealand",2022-09-15,Kiwifruit,Expressions of Interest,20,2022-10-09,2023-03-01,24,Social club / staff events,SUMMER WORK is approaching! Here at Oropi Management Services we have competitive payrates and the convenience of being only 10 minutes from town! WE ARE LOOKING FOR WORKERS WHO ARE: – Reliable – Keen to get outdoors – Hard Working – Can do attitude ADVANTAGES OF WORKING WITH US: – A working environment where you […]
105,Mixed Horticulture/Viticulture Work,284,Focus Contracting Limited,"HASTINGS, New Zealand",2022-09-15,Stonefruit (including Cherries),Need Staff Now,40,2022-09-27,2023-04-14,22.10,,Focus Contracting Ltd need workers for the upcoming 2022/2023 season.  There is a variety of work available including: Stone Fruit thinning Vineyard work Nursery work Apple thinning Please apply now
106,Orchard Hand - Nelson,234,T&G Global,"Riwaka, Nelson, New Zealand",2022-09-15,Apples and Pears,Need Staff Now,10,2022-09-15,2022-10-28,21.20,,"T&G Global has a vital role to play in providing nutritious fruit and vegetables to Kiwis and customers around the globe.  We have a short term job available for people who want to help us with planting trees and working in development in our Orchards in Riwaka.   Experienced in the industry – great, we […]"
107,Strawberry Pickers & Packers - Accommodation Available!,772,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-13,Berries,Need Staff Soon,100,2022-10-04,2022-12-24,$22.89/hour (inclusive of Holiday Pay),Accommodation,"APPLY NOW – START OCTOBER !! We are looking for superstars to join our friendly picking team in Riverhead, West Auckland. Accommodation available – first come first served basis! Location: Riverhead Remuneration: The Rate is $22.89/hour (inclusive of Holiday Pay) Work available from October 2022 Great opportunity for regular work if you are flexible on […]"
108,General Orchard Work - Casual/Seasonal,253,Punchbowl Kiwifruit Services,"Patumahoe, New Zealand",2022-09-13,Kiwifruit,Need Staff Soon,100,2022-10-03,2022-12-23,$22.75 + 8% Holiday Pay,,Are you looking for some short-term work up until Christmas? Earn $22.75 plus holiday pay. Join our orchard team and get involved with General Orchard Work. Full training available. How to apply: Please apply via our website using the following link https://www.punchbowl.co.nz/new-applicants/ and quote ‘Orchard’ About the job: Starting early October and ending in approximately […]
109,Fruit Thinner,146,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-13,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
