,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
61,Kiwifruit Summer Work,310,Oropi Management Services LTD,"Tauranga, New Zealand",2022-10-04,Kiwifruit,Need Staff Now,15,2022-10-10,2023-03-15,23.50,,SUMMER WORK is approaching! Here at Oropi Management Services we have competitive payrates and the convenience of being only 10 minutes from town! WE ARE LOOKING FOR WORKERS WHO ARE: – Reliable – Keen to get outdoors – Hard Working – Can do attitude ADVANTAGES OF WORKING WITH US: – A working environment where you […]
62,Kiwifruit Bud Crushing / Flower Thinning,190,Wai-West Horticulture Ltd,"53 Moutere Highway, RD1, APPLEBY, New Zealand",2022-10-04,Kiwifruit,Need Staff Now,30,2022-10-17,2022-11-18,$22.10,,"Wai-West Horticulture requires kiwifruit bud thinners for our upcoming season. The bud thinning season runs for approximately 4 weeks from 17th October to 18th November, with apple thinning work to follow. If you enjoy working outdoors, are physically fit and think you are suited to this work, we are keen to hear from you. Follow […]"
63,Apple Thinners,247,Waipopo Ltd Partnership,"103 Connolly Road, RD3, Timaru, Timaru, New Zealand",2022-10-04,Apples and Pears,Need Staff Soon,50,2022-11-14,2023-01-31,$22.10,,"At Waipopo Orchards, we love apples but we also understand that the pipfruit business is as much about people as it is a fruit business. We are currently recruiting for apple thinners. The work will begin approx 14 November and run through until approx. the end of January. We don’t require previous experience, just a […]"
64,Forkhoist Driver,83,T&G Global,"Mangere, Auckland, New Zealand",2022-10-04,Other,Need Staff Now,1,2022-10-17,2023-03-17,$23-$24 per hour,,"About us  Here at T&G Global we’re passionate about growing healthier futures. Our story began 125 years ago and today our 2,000 people are located in 13 countries, where we grow, market, sell and distribute high-quality fresh produce to customers in more than 60 countries. Our mindsets are:  Do the Mahi, Be Bold, One Team and […]"
65,Packhouse Workers,169,T&G Global,"Mangere, Auckland, New Zealand",2022-10-04,Other,Need Staff Now,8,2022-10-17,2023-03-15,$22 per hour,,"Packhouse Workers   About us Here at T&G Global we’re passionate about growing healthier futures. Our story began 125 years ago and today our 2,000 people are located in 13 countries, where we grow, market, sell and distribute high-quality fresh produce to customers in more than 60 countries. Our mindsets are:  Do the Mahi, Be […]"
66,Summer Vineyard Workers,246,Pride Vines Ltd,"42 Fulton Street Blenheim, Blenheim, New Zealand",2022-10-03,Winegrowing,Need Staff Soon,15,2022-11-14,2023-03-15,21.20,,"We are looking for Vineyard Workers to join our team for the summer season. Duties will include bud rubbing, wire dropping, wire lifting and leaf plucking."
67,Seasonal Orchard Work - Thinning,245,Mr Apple NZ Limited,"Hastings, Napier and Central Hawke's Bay, New Zealand",2022-10-03,Apples and Pears,Need Staff Soon,100,2022-11-07,2022-12-18,$22.10,"End of season bonuses, Social club / staff events",Looking for short-term work before Christmas? Head to sunny Hawke’s Bay and join our friendly thinning teams where you’ll work hard in fantastic outdoor settings.  The work  Thinning is removing small apples in a bunch to give the rest space to reach apple perfection. You’ll be trained and supported as you learn the ropes by […]
68,Vineyard worker,380,Mount Dunstan Estates Ltd,"68 Mcarthur Road, Alexandra, Alexandra, New Zealand",2022-10-03,Winegrowing,Need Staff Soon,15,2022-11-07,2023-03-31,$23.65,"Flexi rosters, End of season bonuses, Social club / staff events","Be part of a great team working in Central Otago on one of the area’s biggest Pinot Noir vineyards, starting November 2022. Contracts would be available from 6 weeks to 6 months, depending on the applicant. Groups of friends welcome to apply. Jobs will includes: Shoot thinning Wire lifting Bud rubbing Nets and some fruit […]"
69,Orchard Leading Hand,69,kaiaponi farms LTD,"gisborne, New Zealand",2022-10-03,Apples and Pears,Need Staff Now,1,2022-08-01,2022-12-31,$0,,Kaiaponi Orchards is based 10 mins from Gisborne city center and are currently seeking a leading hand to join our expanding orchard team. The role of leading hand is an “all-rounder” position. A wide range of tasks will need to be covered by the successful candidate. The successful candidate will be self-motivated and eager to […]
70,Kiwifruit Orchard Worker,228,West Coast Management Ltd,"Te Puke, New Zealand",2022-10-03,Kiwifruit,Need Staff Now,50,2022-10-06,2023-02-01,22.75,,We have orchard hand positions available with no experience needed in Greater Te Puke region. Full-time workers needed. Starting rate $22.75 plus 8% holiday pay as you go. Attendance bonus $1.25 per worked hour if worked more than 60 hours per week. These positions are available from Thursday 6th October 2022. Ongoing summer work available. […]
71,Apple thinner and vineyard hand,208,Murphy Horticulture Ltd,"Blenheim, New Zealand",2022-10-02,Apples and Pears,Expressions of Interest,15,2022-10-03,2022-11-11,$22.10,Flexi rosters,"We are a family-owned business operating a vineyard as well as being the only export apple grower in the region, providing our staff with unique diversity and experience. We’re located within 5 minutes of Blenheim in the magnificent Marlborough region. We have a number of opportunities for work starting in November and working through until […]"
72,Asparagus pickers,341,JR & HEA Cunliffe,"Ashburton, New Zealand",2022-10-01,Vegetables,Need Staff Soon,4,2022-10-20,2022-12-16,$21.50 - 23,Flexi rosters,"A seasonal job picking and processing the asparagus for the fresh market. From mid October for 6-8 weeks, finishing before Xmas. This job involves weekend work but can tailor hours to suit. If interested we start working again from mid January with the courgette season. This allows people to have a summer break.  "
73,Summer Kiwifruit work,265,WESKCO,"Pongakawa, Te Puke, New Zealand",2022-10-01,Kiwifruit,Need Staff Soon,15,2022-10-10,2023-02-20,starting pay $23 per hour plus holiday pay,Flexi rosters,"Come and join WESKCO and be a part of our family team and enjoy a summer in the sun! LOCATION: Pongakawa, Paengaroa, Te Puke JOB TYPE: Summer Canopy work No OF POSITIONS: 15 EXPERIENCE REQUIRED: None – all training provided START DATE: Early October DURATION: Ongoing – through to February 2023 PAY RATE (not including […]"
74,Orchard Worker,222,Armadale Orchard Ltd,"Hastings, New Zealand",2022-09-30,Apples and Pears,Expressions of Interest,5,2022-10-10,2022-12-23,22.10,,"We are looking for full-time workers on a fixed-term contract starting on the 10 October and finishing on the 23 December 2022. The job will involve blossom plucking, tree tying, tree training, apple and peach thinning and general other work as required. This would suit any self motivated positive person. There is potential for further […]"
75,Fruit Thinner,389,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-30,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
76,Seasonal Glasshouse Workers - Tuakau,219,T&G Global,"Tuakau, New Zealand",2022-09-30,Vegetables,Need Staff Now,8,2022-10-05,2023-03-31,21.25,Bucket/bin rate bonuses,"  Consistent work and hours! No experience needed! Full training provided! Join us in providing fresh fruits and veges to Kiwi’s A bit about us: T&G is New Zealand’s largest producer and packer of hothouse tomatoes. These crops are grown in state-of-the-art environmentally controlled glasshouses, across our 4 North Island sites, and are packaged for […]"
77,Horticulture Job,230,Farmhands,"Rakaia, New Zealand",2022-09-30,Vegetables,Need Staff Now,6,2022-09-30,2022-10-28,$21.20,,Did you just arrive in NZ? Start work immediately! Extend your WHV for 3 months. This is horticultural work. Apply here: https://forms.gle/2RTFoiJe7BNTWxzu9 Work on conveyors at a lily bulb packhouse. Work in Rakaia. We can help you find local accommodation $21.20 + 8% (total $22.89) Mon – Friday: 40 hours per week Day shift: 7:30am […]
78,Vegetable Grader,133,Farmhands,"Rakaia, New Zealand",2022-09-29,Vegetables,Need Staff Now,2,2022-10-03,2022-12-30,$22,,Time for Yams! Start the season as a Vegetable Grader. No previous experience is required! We have Yam Grader roles available. Packhouse work – indoors. Grading yams on a conveyor belt. Apply here: https://forms.gle/2RTFoiJe7BNTWxzu9 – $22 + 8% holiday pay – 3 months of work – Work from 9am – 3pm (school hours ok) – […]
79,Blueberry Harvest Workers,508,Onyx Capital Ltd,"Maungatapere, New Zealand",2022-09-29,Berries,Need Staff Now,10,2022-10-10,2022-12-23,$21.20 per hour + performance bonuses,"Bucket/bin rate bonuses, Flexi rosters, Social club / staff events","Come work with us at Maungatapere Berries! We have work available for our upcoming blueberry harvest which is starting now and will go through to December. Hours and days of work: work is available between Monday to Friday, 7:30am – 4:00pm (there may be some weekend work over the peak of our season). Performance bonuses […]"
80,Orchard Worker,247,Pukemapu Services Limited,"Tauranga, New Zealand",2022-09-29,Kiwifruit,Need Staff Soon,30,2022-10-17,2023-02-15,$24 per hour plus 8% holiday pay,Flexi rosters,Summer Pruning Flower & Bud thinning . Tipping Male trimming
81,Orchard Worker,114,Pukemapu Services Limited,"Tauranga, New Zealand",2022-09-29,Kiwifruit,Need Staff Soon,30,2022-10-17,2023-02-15,$24 per hour plus 8% holiday pay,Flexi rosters,Summer Pruning Flower & Bud thinning . Tipping Male trimming
82,Tractor Driver,95,Farmhands,"Ashburton, New Zealand",2022-09-29,Other,Need Staff Now,1,2022-10-03,2023-10-03,$30,,Looking for $30 + per hour? Sick of driving the same old gear? Want to try something fresh this spring? Contact us today! Apply here : https://forms.gle/2RTFoiJe7BNTWxzu9 We are looking for a skilled tractor driver. The farm specialises in growing fresh vegetables. Based in Chertsey. The company you will work for is named Leaderbrand. 40-60 […]
83,Bud Thinning!,167,Bay Kiwifruit Contracting,"Te Puke, New Zealand",2022-09-28,Kiwifruit,Need Staff Now,20,2022-10-05,2022-11-05,$23.80 per hour,,"Require Bud Thinners to start next week. $23.80 plus 8% holiday pay accrued and paid public holidays. Greater Te Puke region, must have own transport. Ongoing summer work available. Please ring Lewis on 02040223319 or lewis@bkc.nz"
84,Apple thinners,346,Hoddys Fruit CO LTD.,"16 Aniseed valley road, Hope - Nelson, New Zealand",2022-09-28,Apples and Pears,Need Staff Soon,20,2022-11-21,2022-12-21,"$21.20 starting, contract/ piece rate",Accommodation,"Hoddy’s Fruit Company is an apple orchard in Hope, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for keen, reliable, fit individuals to work as apple thinners.  5-6 days per week depending on the weather. Ladder work is involved in this role, so you must be comfortable working on […]"
85,Male Flower Picking,216,Kiwipollen Ltd.,"Tauranga, New Zealand",2022-09-28,Kiwifruit,Need Staff Soon,30,2022-11-01,2022-11-30,26,,"We have a job opportunity for you in the Bay of Plenty from the month of November with continuous work for the summer. No previous experience required; training provided. Pay rate of $26 per hour 8% holiday pay. This is on our family orchard, and you will be working directly with the orchard owner and […]"
86,Apple Thinners & Cherry Pickers,686,Central Organics Ltd,"Alexandra, New Zealand",2022-09-28,Apples and Pears,Need Staff Soon,25,2022-11-21,2023-01-20,$21.20 per hour (or $17/hr Youth Rate for 16-17 yr olds),"Accommodation, Transport, Free Wifi","We need apple thinners to start with us on our organic orchards in mid-November. We also have organic cherries that need picked from mid-December. The majority of cherries are ready to pick after New Year so most apple thinning staff will stay thinning until then. All you need is a desire to work, ability carry […]"
87,Seasonal Vineyard Worker,451,Viticultura Contracting Ltd,"Cromwell, New Zealand",2022-09-28,Winegrowing,Need Staff Now,1,2022-09-28,2022-12-17,22.10,Flexi rosters,"Daily Tasks Involved in the role: general vineyard maintenance, weeding, and other duties as required – go-getters, self-motivated. Flexible hours. Work available from now until around Mid-December.   Punctual, self-motivated, honest, self-starter, willing to do hard work, must show up to work and want to work. "
88,Cherry Picking - Secure your Summer Job Now!!!,567,Gourmet Summerfruit Limited,"44 Kinaston Road, Roxburgh, Roxburgh East, New Zealand",2022-09-27,Stonefruit (including Cherries),Expressions of Interest,80,2022-12-28,2023-02-03,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters","We are a Large Orchard in Roxburgh Central Otago Looking for fit energetic workers wanting to earn good money this summer picking Cherries starting in late December. There’s nothing like a summer harvest in Roxburgh, work hard during the morning, then cool off down by the river after a hard days work. You will need […]"
89,Casual Housekeepers,127,Hortus,"3043 State Highway 1, Riverlands, New Zealand",2022-09-27,Other,Need Staff Soon,5,2022-10-03,2023-05-08,22.50-23.50,Flexi rosters,"Looking for casual/on call work? Like to keep fit and active? Have a good sense of humour? Want to make a difference to the home life of many? $22.50- $23.50 per hour depending on experience + 8% holiday pay.   Hortus is a leading viticulture contractor in the Marlborough region. We provide quality, purpose-built accommodation […]"
90,Machine Operators Wanted!,103,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-27,Berries,Need Staff Now,5,2022-10-03,2022-12-24,$21.2 (+8% Holiday Pay),,"We are looking for a machine operator to assist with the harvest season! We offer flexible hours, a fun team environment and opportunities for professional development. This is a short-term position until approximately end of December. Remuneration: The Rate is $21.20/hour (+8% holiday pay), negotiable depending on experience Duties may include: Assisting the pack house supervisor in […]"
91,Cherry Harvest Positions,562,3 Kings Cherries,"Alexandra, New Zealand",2022-09-26,Stonefruit (including Cherries),Expressions of Interest,20,2022-12-15,2023-02-07,23.65 per hour,"Accommodation, Bucket/bin rate bonuses, Flexi rosters","If you’re looking for healthy outdoor work surrounded by million dollar views,  seasonal picking and packing work is available at our orchard. 3 Kings is conveniently located within walking distance of historic Clyde and only a short drive from larger towns such as Alexandra and Cromwell. The bulk of seasonal work in at 3 Kings […]"
92,Fruit Thinner,193,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-26,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
93,"Vintage Cellar Hand, Marlborough",289,Delegat Limited,"Blenheim, New Zealand",2022-09-25,Winegrowing,Need Staff Soon,50,2023-02-20,2023-04-28,$24 per hour,Transport,"Delegat has earned a reputation as one of New Zealand’s leading winemakers achieving global success with our Oyster Bay brand.  We focus exclusively on making the world’s most sought-after Super-Premium wines and have invested in modern technology and facilities. Delegat Marlborough winery is a large and modern facility with a 40,000-tonne capacity and focuses primarily […]"
94,Truck Driver - 2023 Apple Harvest,127,Wai-West Horticulture Ltd,"TASMAN, New Zealand",2022-09-23,Apples and Pears,Expressions of Interest,2,2023-02-01,2023-05-31,NZ$25 - NZ$27 per hour + 8% Holiday pay,,"Class 5 Driver – Curtain-sider Do you love driving a truck but hate the nights spent away from home? Our position for a local Truck Driver might be right for you. We are looking for a safe, courteous driver who values a predictable schedule. Our company makes safety our number one priority, which is reflected […]"
95,Fruit Thinner,223,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
96,Thinning and Picking,394,AR Labour Contracting,"Hastings, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,10,2022-10-03,2023-03-31,$22.90,,"Hi , We are looking for people to work in orchards. This is position is for Stone fruit thinning , Apple thinning , Stone fruit picking , Apple picking. This work include ladder work. Training can be provided. P.S – We can assist SSE visa as well. Please send us your CV and we will […]"
97,kiwifruit summer work,352,Heera contracting,"Tauranga, New Zealand",2022-09-22,Kiwifruit,Need Staff Soon,100,2022-10-10,2023-03-10,Minimum wage + 8% holiday pay,"Bucket/bin rate bonuses, End of season bonuses","We are looking for energetic people to join us for the busy Kiwifruit season in the Te Puna region. Job Description: – bud thinning, end shoot tipping, fruit thinning, zero leafing, male trimming, leader work, girdling, male pruning and summer canopy work. Hourly and Contract work available: Casual work from early October till early March […]"
98,Picker/packer,155,Windermere Berry Farm,"313 SH3, Whanganui, New Zealand",2022-09-22,Berries,Need Staff Soon,8,2022-10-10,2022-12-24,21.2,Bucket/bin rate bonuses,"(We do not assist with immigration) Work at an iconic Whanganui berry farm, doing pick to punnet primarily in strawberries and raspberries with no ground fruit. Experienced, or regular employees will often also be taught pruning, and other farm jobs. Jobs are available starting from early November able to start as late as the end […]"
99,Wither Hills 2023 Vintage Positions,390,Wither Hills,"211 New Renwick Rd, Blenheim, New Zealand",2022-09-22,Winegrowing,Expressions of Interest,39,2023-02-20,2023-04-14,$23.50 to $29 depending on experience and role,"Accommodation, Free Wifi, Social club / staff events","Wither Hills – Vintage 2023 Positions Vintage will be here before you know it so the team at Wither Hills are starting the search for our 2023 crew. We have a number of fixed term positions available within our winery based in Marlborough if you want to be part of a fun and motivated harvest team, […]"
100,Summer Internship - Sales & Marketing Role Now Open,251,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Expressions of Interest,1,2022-11-15,2023-02-03,$23.00 per hour,"End of season bonuses, Free Wifi, Social club / staff events","Marketing and Sales Assistant  (Summer Internship) CROMWELL, Otago $23.00 per hour + performance bonus potential This marketing and sales assistant internship has a key focus on e-commerce and social media. You will also contribute to the smooth running of our online store and provide sales and administrative support to the wider team. We are looking […]"
101,Summer Internships - HR Roles Now Open,201,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Expressions of Interest,2,2022-11-15,2023-02-03,$23.00 per hour,"End of season bonuses, Free Wifi, Social club / staff events","Human Resources Administrator (Summer Internship)   Start date Mid-November 2022 $23.00 per hour + performance bonus potential. As the HR Administrator, you will be integral to the smooth running of our cherry harvest by recruiting and onboarding seasonal team members, and ensuring they are looked after. We are looking for a self-motivated and trustworthy person, […]"
102,Cherry Packer,441,Panmure Orchards Ltd,"Alexandra, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,6,2023-01-03,2023-01-27,$21.20,"Accommodation, Flexi rosters, Free Wifi",Have you wanted to spend your summer working with cherries? Panmure Orchards are now taking applications for our 2022-2023 Cherry Season. Our season runs from Early January to Late January with the possibility to work earlier and later. Packers start approx 8.30am and work until we have packed all the fruit picked that day. Variations […]
103,Now Open - Cherry Picker and Packer Positions,887,Pure Pac Ltd,"Cromwell, New Zealand",2022-09-22,Stonefruit (including Cherries),Need Staff Soon,200,2022-12-12,2023-01-31,21.20,"Accommodation, Transport, Bucket/bin rate bonuses, End of season bonuses, Social club / staff events","Cherry Picker and Packer Positions CROMWELL, Otago   Picker base rate $21.20 + bonus potential Packhouse base rate $22.20 – $24.00 + bonus potential.   Pure Pac is a cooperative formed by a group of Central Otago cherry growers. We harvest, pack, and sell delicious cherries from more than 10 orchards. We have a variety […]"
104,Apple Thinning - Elevated Platform Night Shift,205,NZSF Rural Land Ltd - Easton Orchard,"Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,10,2022-11-07,2022-12-21,$22.10 + Holiday Pay + Higher piece rates will apply for Nightshift,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work on a Nightshift as apple thinners, working on an elevated platform. The Nightshift is working outside for 8.5 hours a day (4.30pm to […]"
105,Apple Thinning - Elevated Platform Day Shift,124,NZSF Rural Land Ltd - Easton Orchard,"74 Bartlett Road, Appleby, Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,10,2022-11-07,2022-12-21,$22.10 + Holiday Pay,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work on a Dayshift as apple thinners, working on an elevated platform. The Dayshift is working outside for 8.5 hours a day (7.00am to […]"
106,Customer Service All-Rounders Wanted!,208,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-21,Berries,Need Staff Soon,10,2022-10-01,2023-01-14,$21.20 (+8% Holiday Pay),,"We are seeking customer service all-rounders to join us on our PYO strawberry farm in Riverhead! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately Mid-January. Remuneration: The Rate is $21.20/hour (+ 8% holiday pay) Duties may include: Operating the till […]"
107,Apple Thinner Nelson,156,NZSF Rural Land Ltd - Easton Orchard,"74 Bartlett Road, Appleby, Richmond, New Zealand",2022-09-21,Apples and Pears,Need Staff Soon,30,2022-11-07,2022-12-21,$22.10 + Holiday Pay,,"NZSF Rural Land – Easton Orchard is an apple orchard in Appleby, about 5 minutes from Richmond. We have vacancies for Apple Thinners. We are looking for reliable, fit individuals to work as apple thinners. The job is working outside for 8 – 8.5 hours a day (7.30am to 5.00pm with half an hour for […]"
108,Full Time Harvest Support Workers,364,Berry Farms NZ,"Thurley Place, Bay View, Napier, New Zealand",2022-09-21,Berries,Need Staff Now,8,2022-10-03,2023-06-30,$22- $24 per hour,,"Berry Farms are currently hiring Full Time Harvest Support Workers to work at our Bay View Farm.  Please note these are not picking roles. These are full time fixed term roles, and hours of work will vary but will include some weekend work and early morning starts. Our harvest season continues through until June as […]"
109,Picker,421,LQ Hotel,"Queenstown, New Zealand",2022-09-21,Stonefruit (including Cherries),Need Staff Soon,1,2022-10-31,2023-02-28,22.5,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters, End of season bonuses, Free Wifi, Accommodation rebates, Social club / staff events","Hi, I’m Hans. I am living at Queenstown right now. I am available from Octorber to February next year, and I’m a working holiday visa holder as well. My current job is Housekeeing in the LQ Hotel, Queenstown. I am happy to have this experience let me learn some new skills and knowledge. I came […]"
110,ORCHARD ROLES BAY OF PLENTY,297,Trevelyan Pack & Cool Ltd.,"Te Puke, Tauranga, New Zealand",2022-09-21,Kiwifruit,Need Staff Soon,300,2022-10-01,2023-02-28,$23 + 8% Holiday Pay,,Come and work in the Te Puke and Tauranga areas! ☀️10 minutes to the beautiful coast line ☀️Easy drive to the beautiful lakes in Rotorua   Work directly for growers and managers with no contractor in the middle 🥝Good work conditions outside in the orchards 🥝Good team environment so bring your friends! 🥝Lots of work […]
111,Flower Removal,279,Vailima Orchard,"300 Main Road Hope, Hope, New Zealand",2022-09-20,Apples and Pears,Need Staff Now,12,2022-10-03,2022-10-28,$21.20,,"We are looking for motivated people that enjoy working in the outdoors, we offer a supportive fun environment, on the job training and a career path when you fall in love with horticulture. Vailima Orchard is a successful, 4th generation family-owned business. With over 200Ha’s of Apple Orchards stretching over the Waimea Plains in Hope. […]"
112,Strawberry Packers Wanted! - Accommodation Available!,531,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-09-20,Berries,Need Staff Now,10,2022-09-26,2022-12-24,$22.89 (including 8% holiday pay),,"APPLY NOW – START ASAP!! We’re looking for Packhouse superstars to work with us! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately end of December. Accommodation available on a first come first serve basis! Duties may include: Packing Strawberries Carrying […]"
113,Cherry Picking - Secure your Summer Job Now!!!,499,Gourmet Summerfruit Limited,"44 Kinaston Road, Roxburgh, Roxburgh East, New Zealand",2022-09-20,Stonefruit (including Cherries),Expressions of Interest,80,2022-12-28,2023-02-03,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters","We are a Large Orchard in Roxburgh Central Otago Looking for fit energetic workers wanting to earn good money this summer picking Cherries starting in late December. There’s nothing like a summer harvest in Roxburgh, work hard during the morning, then cool off down by the river after a hard days work. You will need […]"
114,GENERAL ORCHARD WORKER,301,H & J Roberts,"Alexandra, New Zealand",2022-09-20,Stonefruit (including Cherries),Expressions of Interest,20,2022-12-05,2023-03-31,$21.20,"Accommodation, Bucket/bin rate bonuses, Flexi rosters, End of season bonuses, Free Wifi, Accommodation rebates, Social club / staff events","WE ARE LOOKING FOR GENERAL ORCHARD HANDS TO WORK THROUGH THE SUMMER PERIOD ON A SEASONAL FIXED AGREEMENT STARTING ABOUT EARLY DECEMBER TO LATE MARCH. WORK ENTAILS THINNING FRUIT FROM BRANCHES, HARVESTING A VARIETY OF CROPS, PACKING FRUIT INTO CARTONS/PUNNETS, AND GENERAL MAINTENANCE WORK. IT IS NOT NECESSARY TO BE ABLE TO PERFORM ALL THE […]"
115,Seasonal Staff,443,Blueberry Country Limited,"Ohaupo, Ngatea, New Zealand",2022-09-20,Berries,Need Staff Soon,50,2022-11-16,2023-03-31,21.20,,"Enthusiastic staff are required over the summer for our busy Waikato blueberry orchards in Ohaupo and Ngatea! Who are we? We are a family-owned business based in Ohaupo in the Waikato. We have established Orchards in Ohaupo, Ngatea, Otautau (Southland) and have an orchard under development in Waipu (Northland). We are New Zealand’s largest holder […]"
116,Fruit Thinner,114,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-19,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
117,Hop Plant Training - Start Mid Oct,325,Nelson Hops NZ Limited,"361 Tapawera-Batton Road, Tapawera, New Zealand",2022-09-19,Other,Need Staff Soon,30,2022-10-10,2022-12-03,$24 inc h/p up to $50+ (piece rates),"Accommodation, Transport, Free Wifi",$24 – $50 + per hour inc h/p (contract piece rates) Accommodation available – Free Van Transport to & from work We are requiring motivated people to join our NZ/international team to train this season’s new & mature hop plants. The hop plant is a vine which grows up strings and produces a hop flower which is harvested to bless the beer we […]
118,Flower Harvesting Team Members,343,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Other,Need Staff Soon,10,2022-10-10,2023-03-17,22.40,,"About the Company: As a division of Southern Fresh Foods, Burwood Nurseries is a dynamic, fast growing family business. Nestled in the Waikato region, we are one of the largest cultivators of fresh-cut flowers in New Zealand. We grow an array of flowers throughout the year and deliver them nationwide. We are proud to fill […]"
119,Flower Cropping Team Members,99,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Other,Need Staff Soon,2,2022-11-14,2023-03-17,23.40,,"About the Company: As a division of Southern Fresh Foods, Burwood Nurseries is a dynamic, fast growing family business. Nestled in the Waikato region, we are one of the largest cultivators of fresh-cut flowers in New Zealand. We grow an array of flowers throughout the year and deliver them nationwide. We are proud to fill […]"
120,Harvesting Team Members,175,Southern Fresh Foods Ltd,"Cambridge, New Zealand",2022-09-19,Vegetables,Need Staff Soon,8,2022-11-28,2022-12-23,23.40,,"About the Company: Southern Fresh Foods is a leading provider of specialty produce including salads, herbs, and baby vegetables. Owned by the Dunn family, Southern Fresh is an exciting and rewarding business to work for with every day bringing new challenges and possibilities. Everything we grow is handled with perfect skill and care so that […]"
121,Flower Nursery Assistant,235,Bokay Flower Farms,"40 MAXTED ROAD, DRURY, New Zealand",2022-09-19,Other,Need Staff Now,3,2022-09-19,2023-05-01,$22,,Flower Pickers and nursery workers required urgently for large nursery based in South Auckland. Good pay offered for the right people. Contact Kerry on 021-883141 or kerry@bokay.co.nz for more info. Various roles available.
122,Strawberry Farm & Cafe Worker,426,Red Bridge Berries,"Shortcut Road, Wanaka, New Zealand",2022-09-18,Berries,Need Staff Soon,4,2022-11-01,2023-04-21,$23,Flexi rosters,"Red Bridge Berries is Hiring!! We are looking for a small team of staff for our summer season November till April (Easter) positions are full time and flexi time and come with perks of ice cream, strawberries and Coffee and an awesome fun environment to work.   Competitive wages and great hours so you can […]"
123,Seasonal Orchard - Blueberry Harvesting,688,T&G Global,"Kerikeri, New Zealand",2022-09-16,Berries,Need Staff Soon,20,2022-11-01,2022-12-16,21.20,Bucket/bin rate bonuses,"T&G Fresh has a vital role to play in providing fresh fruit and vegetables to Kiwis. T&G Kerikeri has an opportunity for you to earn some extra cash leading up to Christmas, so would you like to be part of our seasonal blueberry harvest and pruning crew.   The harvesting of blueberries has a limited window.  […]"
124,Spray Operator,104,Meiros Orchard Ltd,"Puketapu, New Zealand",2022-09-16,Apples and Pears,Need Staff Now,1,2022-09-26,2023-02-01,$26.00 per hour,,We are looking for a spray operator. Applicant should have experience in orchard spraying and be Growsafe Certified. This job would suit someone who is may be looking to work part time or doesn’t wish to work every day of the week. Must be available when needed though and ok with early starts. Spraying hours […]
